Title,Gender,Ethnicity,Annual Salary,Years of Employment
Administrative Specialist,M,Hispanic or Latino,41579.2,6
Administrative Specialist,F,Hispanic or Latino,42328.0,6
Administrative Specialist,M,White,51542.4,12
Administrative Specialist,M,Hispanic or Latino,43388.8,5
Administrative Specialist,M,Hispanic or Latino,51542.4,19
Administrative Specialist,F,White,43409.6,4
Administrative Specialist,F,Hispanic or Latino,42328.0,2
Administrative Specialist,F,Hispanic or Latino,52707.2,20
Administrative Specialist,F,Hispanic or Latino,51542.4,20
Administrative Specialist,F,Black or African American,50523.2,4
Administrative Specialist,F,White,53913.6,14
Administrative Specialist,M,Hispanic or Latino,51542.4,9
"MuniProg, Paraprofessional",M,White,51313.6,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,62462.4,2
"MuniProg, Paraprofessional",M,Black or African American,37440.0,2
"MuniProg, Paraprofessional",M,Hispanic or Latino,64480.0,1
"MuniProg, Paraprofessional",F,White,44470.4,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,39520.0,1
Administrative Specialist,F,Hispanic or Latino,51542.4,4
"MuniProg, Paraprofessional",M,White,60320.0,3
"MuniProg, Paraprofessional",F,White,39520.0,2
"MuniProg, Paraprofessional",M,White,39520.0,2
Administrative Specialist,F,White,51542.4,21
"MuniProg, Paraprofessional",F,White,48297.6,2
"MuniProg, Paraprofessional",M,White,50648.0,1
"MuniProg, Paraprofessional",M,Hispanic or Latino,53830.4,5
"MuniProg, Paraprofessional",M,White,56284.8,8
Administrative Specialist,F,Hispanic or Latino,51542.4,28
"MuniProg, Paraprofessional",M,White,46030.4,4
"MuniProg, Paraprofessional",F,White,49192.0,4
"MuniProg, Paraprofessional",M,Hispanic or Latino,54849.6,1
"MuniProg, Paraprofessional",F,White,39166.4,2
"MuniProg, Paraprofessional",F,Hispanic or Latino,47486.4,4
"MuniProg, Paraprofessional",F,White,47840.0,2
Administrative Specialist,F,Hispanic or Latino,51542.4,4
"MuniProg, Paraprofessional",F,White,52000.0,3
"MuniProg, Paraprofessional",F,Hispanic or Latino,41600.0,2
"MuniProg, Paraprofessional",M,White,72550.4,1
Administrative Specialist,F,White,51542.4,19
Administrative Specialist,F,White,51126.4,2
"MuniProg, Paraprofessional",M,White,59030.4,1
Administrative Specialist,F,Hispanic or Latino,41308.8,3
Administrative Specialist,F,White,52166.4,11
Administrative Specialist,F,White,51542.4,17
Administrative Specialist,F,Black or African American,48235.2,4
"MuniProg, Paraprofessional",F,Black or African American,41600.0,1
"MuniProg, Paraprofessional",F,White,41600.0,1
Administrative Specialist,F,Hispanic or Latino,51542.4,9
Administrative Specialist,F,Black or African American,48235.2,7
"MuniProg, Paraprofessional",M,White,93600.0,2
Administrative Specialist,F,Black or African American,49940.8,3
Administrative Specialist,F,White,51542.4,14
"MuniProg, Paraprofessional",M,Black or African American,31200.0,2
Administrative Specialist,F,Asian,45240.0,2
"MuniProg, Paraprofessional",F,White,99840.0,2
Administrative Specialist,M,Hispanic or Latino,52062.4,15
Administrative Specialist,F,White,51542.4,11
Administrative Specialist,F,Hispanic or Latino,51542.4,6
Administrative Specialist,M,Black or African American,40560.0,3
Administrative Specialist,F,White,51542.4,7
"MuniProg, Paraprofessional",F,White,52332.8,4
Administrative Specialist,M,Hispanic or Latino,51542.4,20
"MuniProg, Paraprofessional",M,White,68723.2,6
Administrative Specialist,F,Hispanic or Latino,51542.4,6
Administrative Specialist,F,White,42328.0,1
Administrative Specialist,F,White,52395.2,4
Administrative Specialist,F,Black or African American,49920.0,6
Administrative Specialist,F,White,51542.4,8
Administrative Specialist,M,White,42328.0,1
Administrative Specialist,F,Hispanic or Latino,51542.4,8
Administrative Specialist,M,Hispanic or Latino,48713.6,2
Administrative Specialist,F,Hispanic or Latino,51542.4,18
Administrative Specialist,M,Asian,49171.2,16
"MuniProg, Paraprofessional",M,Black or African American,47195.2,2
Administrative Specialist,F,White,48214.4,11
"MuniProg, Paraprofessional",F,White,42265.6,3
"MuniProg, Paraprofessional",M,Hispanic or Latino,41433.6,3
Administrative Specialist,F,Black or African American,51126.4,15
Administrative Specialist,F,Hispanic or Latino,51542.4,19
"MuniProg, Paraprofessional",F,Black or African American,49400.0,1
"MuniProg, Paraprofessional",M,Black or African American,51209.6,2
Administrative Specialist,F,Black or African American,45364.8,14
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,73889.92,13
Firefighter,F,White,52069.16,2
Firefighter,M,White,52069.11,1
Firefighter,M,White,52069.11,1
Administrative Specialist,F,Hispanic or Latino,50315.2,6
Firefighter,M,Hispanic or Latino,61400.82,4
Firefighter,M,Hispanic or Latino,67021.76,6
Fire Specialist,M,White,92372.8,20
Firefighter,M,White,70369.0,7
Firefighter,F,Black or African American,73888.36,13
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,M,Black or African American,61400.82,4
Firefighter,M,White,81461.9,17
Firefighter,M,White,73888.36,11
Fire Specialist,M,White,72383.48,6
Firefighter,M,Hispanic or Latino,89807.12,25
Firefighter,M,White,70369.0,7
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,Hispanic or Latino,61400.92,1
Firefighter,M,White,67020.46,6
Firefighter,F,White,52069.16,2
Fire Specialist,M,White,96992.48,27
Firefighter,M,White,52069.11,1
Firefighter,M,White,67020.46,6
Fire Specialist,M,White,92372.8,21
Firefighter,M,White,89807.12,31
Firefighter,M,Hispanic or Latino,61400.82,4
Firefighter,M,White,89807.12,32
Firefighter,M,White,73888.36,13
Firefighter,M,White,52069.11,1
Firefighter,M,White,52069.16,2
Firefighter,M,Hispanic or Latino,73888.36,11
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,M,Hispanic or Latino,89807.12,28
Firefighter,M,White,61400.82,4
Firefighter,M,White,73888.36,12
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,White,67020.46,6
Firefighter,M,White,52069.11,1
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,61400.92,1
Firefighter,M,Hispanic or Latino,67020.46,3
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,61400.92,1
Fire Specialist,F,Hispanic or Latino,79799.98,11
Firefighter,M,White,89807.12,25
Firefighter,M,White,73888.36,11
Firefighter,M,White,89807.12,26
Firefighter,M,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,M,White,67020.46,6
Firefighter,M,White,89808.16,25
Fire Specialist,M,White,79799.98,12
Firefighter,M,White,70369.0,7
Firefighter,M,White,52069.11,1
Firefighter,M,White,89807.12,30
Fire Specialist,M,White,96991.96,25
Firefighter,M,White,73888.36,13
Firefighter,M,White,73888.36,13
Fire Specialist,M,Black or African American,79799.98,13
Firefighter,M,Black or African American,73888.36,11
Fire Specialist,M,White,79799.98,11
Fire Specialist,M,White,96992.48,23
Fire Specialist,M,White,79799.98,11
Fire Specialist,F,White,87979.84,18
Fire Specialist,M,White,79799.98,13
Firefighter,M,Hispanic or Latino,70369.0,7
Firefighter,M,White,77578.54,15
Firefighter,M,White,52069.16,2
Firefighter,M,White,89807.12,31
Firefighter,M,White,56589.0,3
Firefighter,M,Hispanic or Latino,52069.16,2
Fire Specialist,M,White,79799.98,13
Firefighter,F,White,67021.76,6
Firefighter,M,White,70369.0,7
Fire Specialist,M,White,96991.96,25
Firefighter,F,White,67020.46,6
Firefighter,M,White,67020.46,6
Firefighter,M,White,67020.46,6
Firefighter,M,White,77578.54,15
Firefighter,F,White,67020.46,6
Firefighter,M,Black or African American,81461.9,17
Firefighter,M,Black or African American,89807.12,31
Firefighter,M,Hispanic or Latino,52069.16,2
Firefighter,M,Hispanic or Latino,81461.9,17
Fire Specialist,M,Hispanic or Latino,79799.98,11
Firefighter,M,White,52069.16,2
Firefighter,M,White,61400.82,4
Fire Specialist,F,White,79799.98,13
Fire Specialist,M,White,92372.8,20
Fire Specialist,M,White,96991.96,27
Firefighter,M,White,81461.9,17
Firefighter,M,Hispanic or Latino,70369.0,7
Fire Specialist,F,White,79799.98,13
Firefighter,M,Hispanic or Latino,89807.12,25
Fire Specialist,M,White,96991.96,29
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,Hispanic or Latino,81461.9,17
Firefighter,M,Hispanic or Latino,52069.11,1
Firefighter,M,White,52069.16,2
Firefighter,M,Black or African American,61400.82,4
Fire Specialist,M,White,87979.79,17
Firefighter,M,White,85532.46,20
Firefighter,M,White,61400.82,4
Firefighter,M,White,61400.82,4
Fire Specialist,M,White,75999.56,7
Firefighter,F,White,61400.82,4
Fire Specialist,M,White,96991.96,24
Firefighter,M,White,61400.82,4
Firefighter,M,White,61400.82,4
Firefighter,M,White,81463.2,19
Firefighter,M,White,61400.92,1
Firefighter,M,Hispanic or Latino,61400.82,4
Administrative Specialist,M,Black or African American,44907.2,5
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,White,85532.46,20
Firefighter,M,White,61400.82,4
Firefighter,M,White,89807.12,25
Firefighter,F,White,67021.76,6
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,73888.36,13
Fire Specialist,M,White,75999.56,7
Firefighter,M,White,67020.46,6
Firefighter,M,White,77578.54,15
Fire Specialist,M,Hispanic or Latino,83785.26,15
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,81461.9,18
Firefighter,M,Hispanic or Latino,52069.11,1
Firefighter,M,White,89807.12,25
Fire Specialist,M,White,83785.16,15
Fire Specialist,M,White,75999.56,7
Fire Specialist,M,White,96991.96,24
Fire Specialist,M,White,83785.26,15
Firefighter,M,White,85532.46,21
Firefighter,M,White,77578.54,15
Firefighter,M,White,61400.82,4
Fire Specialist,M,White,79799.98,11
Firefighter,F,Hispanic or Latino,61400.82,4
Firefighter,M,White,61400.82,4
Firefighter,M,Black or African American,85532.46,21
Firefighter,M,White,70369.0,7
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,52069.11,1
Firefighter,M,White,67020.46,6
Firefighter,M,White,77578.54,15
Firefighter,M,Black or African American,73888.36,12
Firefighter,M,White,52069.16,2
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,F,White,81461.9,17
Firefighter,M,Asian,61400.82,4
Fire Specialist,M,Hispanic or Latino,79799.98,12
Fire Specialist,F,White,87979.84,17
Firefighter,M,White,73888.36,11
Firefighter,M,White,73888.36,11
Fire Specialist,M,White,87979.84,19
Fire Specialist,F,White,83785.26,15
Fire Specialist,M,White,92372.8,20
Firefighter,M,White,81461.9,18
Firefighter,M,White,52069.16,2
Firefighter,M,Hispanic or Latino,77578.54,15
Firefighter,M,White,85532.46,20
Firefighter,M,White,89807.12,25
Firefighter,M,White,61400.82,4
Firefighter,F,White,67020.46,6
Firefighter,M,White,77578.54,15
Firefighter,M,White,67020.46,6
Firefighter,M,White,61400.82,4
Firefighter,M,White,52069.16,2
Firefighter,M,White,61400.82,4
Firefighter,M,White,73888.36,11
Firefighter,M,White,70369.0,7
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,White,72383.58,6
Firefighter,M,White,67021.76,6
Firefighter,M,White,61400.82,4
Firefighter,F,White,67020.46,6
Fire Specialist,M,White,92372.8,26
Firefighter,M,White,89807.12,23
Firefighter,M,Black or African American,56589.0,4
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,White,70368.48,7
Firefighter,M,White,61400.82,4
Firefighter,M,Hispanic or Latino,73888.36,13
Fire Specialist,M,White,96991.96,25
Fire Specialist,M,White,87979.84,19
Firefighter,M,White,73888.36,11
Firefighter,M,Hispanic or Latino,81461.9,18
Firefighter,M,Hispanic or Latino,81461.9,17
Firefighter,M,White,89808.16,24
Fire Specialist,M,Hispanic or Latino,96991.96,24
Fire Specialist,M,White,87979.84,19
Fire Specialist,M,White,75999.46,7
Firefighter,M,White,85532.46,22
Firefighter,M,White,70369.0,7
Firefighter,M,White,61400.82,4
Firefighter,M,White,67020.46,6
Firefighter,M,White,89807.12,25
Firefighter,M,White,67020.46,6
Firefighter,M,White,77578.54,15
Fire Specialist,F,White,79799.98,13
Firefighter,M,White,61400.82,4
Firefighter,M,White,67020.46,6
Fire Specialist,F,White,87979.79,17
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,81461.9,17
Firefighter,M,Hispanic or Latino,81461.9,19
Fire Specialist,M,White,79799.98,13
Firefighter,M,Hispanic or Latino,81461.9,17
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,Hispanic or Latino,81463.2,18
Fire Specialist,M,White,79799.98,13
Firefighter,F,White,67020.46,6
Fire Specialist,F,White,75999.46,7
Firefighter,M,Hispanic or Latino,89808.16,25
Firefighter,F,White,61400.82,4
Firefighter,M,White,89807.12,28
Firefighter,M,White,52069.11,1
Firefighter,M,White,81461.9,17
Firefighter,M,White,61400.82,4
Firefighter,M,White,67020.46,6
Fire Specialist,M,White,96991.96,32
Fire Specialist,M,Black or African American,83785.26,15
Firefighter,M,White,67020.46,6
Firefighter,M,White,52069.16,2
Firefighter,M,White,67020.46,6
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,Hispanic or Latino,89807.12,24
Firefighter,M,Hispanic or Latino,73888.36,11
Fire Specialist,M,Hispanic or Latino,87979.84,17
Firefighter,M,Hispanic or Latino,85532.46,20
Fire Specialist,M,White,92372.8,20
Firefighter,M,Hispanic or Latino,73888.36,13
Firefighter,M,White,81461.9,18
Firefighter,M,White,52069.11,1
Firefighter,M,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,F,White,85532.46,22
Firefighter,M,White,61400.82,4
Fire Specialist,M,Hispanic or Latino,83785.16,15
Firefighter,M,Hispanic or Latino,61400.92,1
Firefighter,F,White,73888.36,13
Fire Specialist,M,Hispanic or Latino,87979.84,18
Firefighter,M,Hispanic or Latino,67020.46,3
Fire Specialist,M,White,79799.98,13
Fire Specialist,M,White,92372.8,21
Firefighter,M,White,70369.0,7
Firefighter,M,White,81461.9,17
Fire Specialist,F,White,87979.84,17
Firefighter,F,White,67020.46,6
Firefighter,M,White,77578.54,15
Firefighter,M,White,67020.46,6
Firefighter,M,White,61400.82,4
Firefighter,M,White,56589.0,3
Firefighter,F,White,73888.36,12
Fire Specialist,M,White,96991.96,28
Firefighter,M,White,89807.12,24
Firefighter,M,Black or African American,67020.46,3
Firefighter,M,White,67020.46,6
Firefighter,M,White,73888.36,13
Firefighter,M,White,67020.46,6
Firefighter,M,White,67020.46,6
Fire Specialist,M,White,79799.98,13
Fire Specialist,M,White,87979.84,17
Firefighter,M,Black or African American,85532.46,22
Fire Specialist,M,White,79799.98,13
Firefighter,F,White,73888.36,11
Fire Specialist,M,White,79799.98,11
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,70368.95,7
Fire Specialist,M,White,96992.48,24
Firefighter,M,White,73888.36,13
Fire Specialist,M,White,72383.48,6
Firefighter,M,White,56589.0,3
Firefighter,M,White,52069.16,2
Firefighter,M,White,89807.12,25
Firefighter,M,Hispanic or Latino,73888.36,11
Fire Specialist,M,Hispanic or Latino,83785.26,15
Firefighter,M,Hispanic or Latino,89807.12,24
Fire Specialist,F,Hispanic or Latino,87979.84,18
Firefighter,M,Hispanic or Latino,52069.11,1
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,White,52069.11,1
Firefighter,F,White,89807.12,24
Fire Specialist,M,White,87979.84,18
Firefighter,M,White,61400.82,4
Firefighter,M,White,67020.46,6
Firefighter,F,White,56589.0,3
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,Black or African American,79799.98,13
Firefighter,M,White,81461.9,19
Firefighter,F,Hispanic or Latino,81461.9,17
Firefighter,M,White,81461.9,19
Firefighter,M,White,61400.82,4
Firefighter,M,White,61400.82,4
Firefighter,M,White,85532.46,22
Fire Specialist,M,White,79799.98,12
Fire Specialist,M,White,79799.98,12
Firefighter,M,Hispanic or Latino,61400.92,1
Firefighter,M,Hispanic or Latino,56589.0,3
Firefighter,M,White,81461.9,18
Fire Specialist,M,White,79799.98,13
Firefighter,M,Black or African American,85532.46,21
Firefighter,M,Asian,61400.82,4
Firefighter,M,White,67020.46,6
Firefighter,M,White,70369.0,7
Fire Specialist,M,Asian,83785.26,15
Fire Specialist,M,White,87979.84,18
Fire Specialist,M,White,72383.48,6
Firefighter,M,White,89807.12,31
Firefighter,M,White,70369.0,7
Firefighter,M,White,70369.0,7
Firefighter,M,White,56589.0,3
Administrative Specialist,F,White,42681.6,3
Firefighter,M,White,70369.0,7
Firefighter,M,White,81461.9,19
Firefighter,M,Hispanic or Latino,81461.9,18
Fire Specialist,M,White,75999.56,7
Firefighter,F,White,52069.16,2
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,White,61400.82,4
Firefighter,M,White,52069.16,2
Firefighter,M,Black or African American,67020.46,3
Firefighter,M,White,61400.82,4
Firefighter,M,White,61400.82,4
Firefighter,M,Hispanic or Latino,52069.11,1
Fire Specialist,M,White,92372.8,21
Firefighter,M,White,81461.9,18
Firefighter,M,White,73888.36,13
Firefighter,M,White,56589.0,3
Firefighter,F,White,73888.36,12
Firefighter,F,White,85531.68,21
Firefighter,M,White,67020.46,6
Firefighter,M,White,77577.76,15
Fire Specialist,M,White,87979.84,18
Fire Specialist,M,White,79799.98,13
Firefighter,F,White,89808.16,24
Firefighter,M,White,67020.46,6
Fire Specialist,M,Hispanic or Latino,72383.48,6
Firefighter,M,White,61400.82,4
Firefighter,M,White,52069.16,2
Firefighter,M,White,61400.82,4
Administrative Specialist,F,Hispanic or Latino,49150.4,4
Firefighter,M,White,81461.9,18
Fire Specialist,M,White,79799.98,13
Administrative Specialist,M,White,44907.2,7
Fire Specialist,M,White,96991.96,28
Firefighter,M,White,77578.54,15
Firefighter,M,White,81461.9,19
Firefighter,M,White,67021.76,6
Firefighter,F,White,70369.0,7
Firefighter,M,White,73888.36,13
Fire Specialist,M,White,79799.98,12
Firefighter,M,White,70369.0,7
Fire Specialist,M,White,96991.96,25
Firefighter,M,White,67020.46,6
Fire Specialist,M,White,83785.26,15
Firefighter,F,White,52069.16,2
Firefighter,M,White,89807.12,33
Fire Specialist,M,White,96991.96,32
Firefighter,M,White,67020.46,6
Firefighter,M,White,89807.12,24
Firefighter,M,White,52069.11,1
Firefighter,M,White,73888.36,11
Firefighter,M,White,89808.16,27
Fire Specialist,M,White,96991.96,26
Administrative Specialist,M,White,45510.4,1
Firefighter,M,White,52069.11,1
Firefighter,M,White,52069.16,2
Fire Specialist,M,White,92372.8,20
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,70368.95,7
Firefighter,M,White,73888.36,13
Firefighter,M,Hispanic or Latino,52069.16,2
Fire Specialist,M,White,96991.96,24
Firefighter,M,White,70369.0,7
Firefighter,M,White,52069.16,2
Firefighter,M,White,56589.0,3
Firefighter,M,White,81461.9,18
Firefighter,M,White,67020.46,6
Fire Specialist,M,Asian,79799.98,12
Firefighter,M,Hispanic or Latino,70368.95,7
Fire Specialist,M,White,79799.98,13
Firefighter,M,White,52069.16,2
Firefighter,M,Black or African American,81461.9,19
Firefighter,F,Asian,67020.46,6
Firefighter,M,White,70369.0,7
Administrative Specialist,F,Hispanic or Latino,41912.0,7
Firefighter,M,Hispanic or Latino,67020.46,6
Firefighter,M,White,89807.12,24
Firefighter,M,White,61400.82,4
Fire Specialist,M,White,83785.26,15
Fire Specialist,M,White,79799.98,11
Firefighter,M,White,70369.0,7
Administrative Specialist,F,Hispanic or Latino,48235.2,12
Firefighter,M,Hispanic or Latino,67020.46,3
Firefighter,M,White,73888.36,11
Fire Specialist,M,White,96991.96,25
Fire Specialist,M,Asian,75999.46,7
Firefighter,M,White,67020.46,6
Fire Specialist,F,Hispanic or Latino,96991.96,24
Firefighter,M,White,89808.16,23
Fire Specialist,M,White,96991.96,25
Firefighter,M,White,52069.16,2
Fire Specialist,F,White,79799.98,13
Firefighter,M,Hispanic or Latino,81461.9,17
Firefighter,M,White,81461.85,18
Fire Specialist,M,Black or African American,92372.8,22
Firefighter,M,White,89807.12,26
Fire Specialist,M,White,72383.48,6
Firefighter,M,Hispanic or Latino,61400.92,1
Fire Specialist,M,Hispanic or Latino,83785.26,15
Fire Specialist,M,Hispanic or Latino,75999.56,7
Firefighter,F,Hispanic or Latino,73888.36,13
Firefighter,M,White,81461.9,17
Firefighter,M,White,73888.36,13
Fire Specialist,M,White,96991.96,32
Fire Specialist,M,White,75999.56,7
